date,sector,country,co2
2019/1/1,Industry,United States,2.7555985
2019/1/2,Industry,United States,2.9960832
2019/1/3,Industry,United States,2.9390601
2019/1/4,Industry,United States,2.9242633
2019/1/5,Industry,United States,2.8190043
2019/1/6,Industry,United States,2.56215
2019/1/7,Industry,United States,2.7118961
2019/1/8,Industry,United States,2.7262474
2019/1/9,Industry,United States,2.848072
2019/1/10,Industry,United States,2.9693297
2019/1/11,Industry,United States,2.9395264
2019/1/12,Industry,United States,2.8287284
2019/1/13,Industry,United States,2.9219707
2019/1/14,Industry,United States,3.1181624
2019/1/15,Industry,United States,3.0563001
2019/1/16,Industry,United States,2.9762407
2019/1/17,Industry,United States,2.9780562
2019/1/18,Industry,United States,2.7801077
2019/1/19,Industry,United States,2.8180954
2019/1/20,Industry,United States,3.0102976
2019/1/21,Industry,United States,3.036909
2019/1/22,Industry,United States,2.9447253
2019/1/23,Industry,United States,3.0176935
2019/1/24,Industry,United States,2.9951152
2019/1/25,Industry,United States,3.1426416
2019/1/26,Industry,United States,3.0263986
2019/1/27,Industry,United States,2.874257
2019/1/28,Industry,United States,2.8618183
2019/1/29,Industry,United States,3.1696447
2019/1/30,Industry,United States,3.3247918
2019/1/31,Industry,United States,3.3101952
2019/2/1,Industry,United States,2.8637859
2019/2/2,Industry,United States,2.6092248
2019/2/3,Industry,United States,2.4279164
2019/2/4,Industry,United States,2.5936926
2019/2/5,Industry,United States,2.7276892
2019/2/6,Industry,United States,2.7196436
2019/2/7,Industry,United States,2.7719752
2019/2/8,Industry,United States,2.9563066
2019/2/9,Industry,United States,2.9496241
2019/2/10,Industry,United States,2.9102036
2019/2/11,Industry,United States,2.848937
2019/2/12,Industry,United States,2.8304439
2019/2/13,Industry,United States,2.7809911
2019/2/14,Industry,United States,2.7727118
2019/2/15,Industry,United States,2.8108533
2019/2/16,Industry,United States,2.8372583
2019/2/17,Industry,United States,2.7907377
2019/2/18,Industry,United States,2.9721059
2019/2/19,Industry,United States,3.1499973
2019/2/20,Industry,United States,2.9919642
2019/2/21,Industry,United States,2.900739
2019/2/22,Industry,United States,2.9565518
2019/2/23,Industry,United States,2.7272585
2019/2/24,Industry,United States,2.7492089
2019/2/25,Industry,United States,2.9168991
2019/2/26,Industry,United States,2.9486244
2019/2/27,Industry,United States,2.9457057
2019/2/28,Industry,United States,2.9655917
2019/3/1,Industry,United States,3.0333706
2019/3/2,Industry,United States,2.8427087
2019/3/3,Industry,United States,2.8354113
2019/3/4,Industry,United States,3.1783796
2019/3/5,Industry,United States,3.208415
2019/3/6,Industry,United States,3.0684155
2019/3/7,Industry,United States,2.923657
2019/3/8,Industry,United States,2.8523486
2019/3/9,Industry,United States,2.5970839
2019/3/10,Industry,United States,2.5784615
2019/3/11,Industry,United States,2.8137533
2019/3/12,Industry,United States,2.6728092
2019/3/13,Industry,United States,2.6258551
2019/3/14,Industry,United States,2.5966026
2019/3/15,Industry,United States,2.6439082
