date,sector,country,co2
2019/1/1,Domestic Aviation,China,0.163041934
2019/1/2,Domestic Aviation,China,0.166187507
2019/1/3,Domestic Aviation,China,0.163077528
2019/1/4,Domestic Aviation,China,0.164228209
2019/1/5,Domestic Aviation,China,0.159385209
2019/1/6,Domestic Aviation,China,0.164577216
2019/1/7,Domestic Aviation,China,0.163271443
2019/1/8,Domestic Aviation,China,0.161447533
2019/1/9,Domestic Aviation,China,0.163607825
2019/1/10,Domestic Aviation,China,0.17104994
2019/1/11,Domestic Aviation,China,0.134222301
2019/1/12,Domestic Aviation,China,0.162363806
2019/1/13,Domestic Aviation,China,0.162083671
2019/1/14,Domestic Aviation,China,0.168169671
2019/1/15,Domestic Aviation,China,0.168457552
2019/1/16,Domestic Aviation,China,0.134973559
2019/1/17,Domestic Aviation,China,0.168657067
2019/1/18,Domestic Aviation,China,0.169431923
2019/1/19,Domestic Aviation,China,0.170404879
2019/1/20,Domestic Aviation,China,0.171787664
2019/1/21,Domestic Aviation,China,0.174961327
2019/1/22,Domestic Aviation,China,0.17432751
2019/1/23,Domestic Aviation,China,0.176563734
2019/1/24,Domestic Aviation,China,0.176569452
2019/1/25,Domestic Aviation,China,0.174309713
2019/1/26,Domestic Aviation,China,0.177510148
2019/1/27,Domestic Aviation,China,0.182719177
2019/1/28,Domestic Aviation,China,0.141130438
2019/1/29,Domestic Aviation,China,0.180575682
2019/1/30,Domestic Aviation,China,0.181986369
2019/1/31,Domestic Aviation,China,0.182516238
2019/2/1,Domestic Aviation,China,0.18341474
2019/2/2,Domestic Aviation,China,0.183050432
2019/2/3,Domestic Aviation,China,0.181960985
2019/2/4,Domestic Aviation,China,0.152639581
2019/2/5,Domestic Aviation,China,0.161549695
2019/2/6,Domestic Aviation,China,0.16993456
2019/2/7,Domestic Aviation,China,0.176919243
2019/2/8,Domestic Aviation,China,0.176748322
2019/2/9,Domestic Aviation,China,0.182694885
2019/2/10,Domestic Aviation,China,0.18467415
2019/2/11,Domestic Aviation,China,0.184427952
2019/2/12,Domestic Aviation,China,0.185296258
2019/2/13,Domestic Aviation,China,0.180010374
2019/2/14,Domestic Aviation,China,0.171737875
2019/2/15,Domestic Aviation,China,0.179182703
2019/2/16,Domestic Aviation,China,0.180861461
2019/2/17,Domestic Aviation,China,0.180485095
2019/2/18,Domestic Aviation,China,0.179160173
2019/2/19,Domestic Aviation,China,0.173610455
2019/2/20,Domestic Aviation,China,0.181997823
2019/2/21,Domestic Aviation,China,0.181340366
2019/2/22,Domestic Aviation,China,0.181090327
2019/2/23,Domestic Aviation,China,0.180211185
2019/2/24,Domestic Aviation,China,0.179816136
2019/2/25,Domestic Aviation,China,0.179451403
2019/2/26,Domestic Aviation,China,0.177927305
2019/2/27,Domestic Aviation,China,0.177729396
2019/2/28,Domestic Aviation,China,0.176113376
2019/3/1,Domestic Aviation,China,0.173288279
2019/3/2,Domestic Aviation,China,0.167506604
2019/3/3,Domestic Aviation,China,0.170360167
2019/3/4,Domestic Aviation,China,0.169245954
2019/3/5,Domestic Aviation,China,0.16688749
2019/3/6,Domestic Aviation,China,0.168989587
2019/3/7,Domestic Aviation,China,0.167493277
2019/3/8,Domestic Aviation,China,0.167925567
2019/3/9,Domestic Aviation,China,0.164017942
2019/3/10,Domestic Aviation,China,0.16655043
2019/3/11,Domestic Aviation,China,0.164699663
2019/3/12,Domestic Aviation,China,0.163996143
2019/3/13,Domestic Aviation,China,0.164337467
2019/3/14,Domestic Aviation,China,0.166017854
2019/3/15,Domestic Aviation,China,0.166675006
2019/3/16,Domestic Aviation,China,0.163817836
2019/3/17,Domestic Aviation,China,0.162274049
2019/3/18,Domestic Aviation,China,0.162145553
2019/3/19,Domestic Aviation,China,0.162929712
2019/3/20,Domestic Aviation,China,0.163466532
2019/3/21,Domestic Aviation,China,0.162887515
2019/3/22,Domestic Aviation,China,0.165040994
2019/3/23,Domestic Aviation,China,0.162938934
2019/3/24,Domestic Aviation,China,0.165622923
2019/3/25,Domestic Aviation,China,0.163440226
2019/3/26,Domestic Aviation,China,0.10476295
2019/3/27,Domestic Aviation,China,0.164570304
2019/3/28,Domestic Aviation,China,0.163019781
2019/3/29,Domestic Aviation,China,0.163904135
2019/3/30,Domestic Aviation,China,0.160341372
2019/3/31,Domestic Aviation,China,0.170213046
2019/4/1,Domestic Aviation,China,0.171184052
2019/4/2,Domestic Aviation,China,0.168302045
2019/4/3,Domestic Aviation,China,0.171381693
2019/4/4,Domestic Aviation,China,0.170938064
2019/4/5,Domestic Aviation,China,0.161339904
2019/4/6,Domestic Aviation,China,0.15648113
2019/4/7,Domestic Aviation,China,0.170193352
2019/4/8,Domestic Aviation,China,0.167605292
2019/4/9,Domestic Aviation,China,0.166038838
2019/4/10,Domestic Aviation,China,0.168192722
2019/4/11,Domestic Aviation,China,0.094321356
