date,sector,country,co2
2019/1/1,Ground Transport,China,2.521742753
2019/1/2,Ground Transport,China,2.539914472
2019/1/3,Ground Transport,China,2.529741199
2019/1/4,Ground Transport,China,2.574039463
2019/1/5,Ground Transport,China,2.514699964
2019/1/6,Ground Transport,China,2.45337547
2019/1/7,Ground Transport,China,2.533849128
2019/1/8,Ground Transport,China,2.533557428
2019/1/9,Ground Transport,China,2.533320868
2019/1/10,Ground Transport,China,2.534356351
2019/1/11,Ground Transport,China,2.565789912
2019/1/12,Ground Transport,China,2.491598345
2019/1/13,Ground Transport,China,2.4330937
2019/1/14,Ground Transport,China,2.524639932
2019/1/15,Ground Transport,China,2.521262137
2019/1/16,Ground Transport,China,2.512353816
2019/1/17,Ground Transport,China,2.519939114
2019/1/18,Ground Transport,China,2.578877018
2019/1/19,Ground Transport,China,2.521582249
2019/1/20,Ground Transport,China,2.260583701
2019/1/21,Ground Transport,China,2.521602543
2019/1/22,Ground Transport,China,2.540530415
2019/1/23,Ground Transport,China,2.527614851
2019/1/24,Ground Transport,China,2.535230872
2019/1/25,Ground Transport,China,2.582568833
2019/1/26,Ground Transport,China,2.502860359
2019/1/27,Ground Transport,China,2.428811838
2019/1/28,Ground Transport,China,2.506191558
2019/1/29,Ground Transport,China,2.522489334
2019/1/30,Ground Transport,China,2.524727093
2019/1/31,Ground Transport,China,2.524233078
2019/2/1,Ground Transport,China,2.589353452
2019/2/2,Ground Transport,China,2.5126315
2019/2/3,Ground Transport,China,2.462958747
2019/2/4,Ground Transport,China,2.562307091
2019/2/5,Ground Transport,China,2.567521998
2019/2/6,Ground Transport,China,2.561730199
2019/2/7,Ground Transport,China,2.561569995
2019/2/8,Ground Transport,China,2.59783306
2019/2/9,Ground Transport,China,2.518462025
2019/2/10,Ground Transport,China,2.477415296
2019/2/11,Ground Transport,China,2.576310393
2019/2/12,Ground Transport,China,2.579212912
2019/2/13,Ground Transport,China,2.574097646
2019/2/14,Ground Transport,China,2.572715196
2019/2/15,Ground Transport,China,2.607914557
2019/2/16,Ground Transport,China,2.53606904
2019/2/17,Ground Transport,China,2.49039439
2019/2/18,Ground Transport,China,2.564254438
2019/2/19,Ground Transport,China,2.564279163
2019/2/20,Ground Transport,China,2.557490124
2019/2/21,Ground Transport,China,2.559174132
2019/2/22,Ground Transport,China,2.594333511
2019/2/23,Ground Transport,China,2.517245354
2019/2/24,Ground Transport,China,2.46281491
2019/2/25,Ground Transport,China,2.551847146
2019/2/26,Ground Transport,China,2.55365521
2019/2/27,Ground Transport,China,2.550036003
2019/2/28,Ground Transport,China,2.5523259
2019/3/1,Ground Transport,China,2.587415079
2019/3/2,Ground Transport,China,2.514290719
2019/3/3,Ground Transport,China,2.459308273
2019/3/4,Ground Transport,China,2.547683882
2019/3/5,Ground Transport,China,2.553198534
2019/3/6,Ground Transport,China,2.551276266
2019/3/7,Ground Transport,China,2.552421544
2019/3/8,Ground Transport,China,2.587042339
2019/3/9,Ground Transport,China,2.520181107
2019/3/10,Ground Transport,China,2.467600986
2019/3/11,Ground Transport,China,2.544757466
2019/3/12,Ground Transport,China,2.550103818
2019/3/13,Ground Transport,China,2.547707033
2019/3/14,Ground Transport,China,2.549141514
2019/3/15,Ground Transport,China,2.584269029
2019/3/16,Ground Transport,China,2.517242156
2019/3/17,Ground Transport,China,2.458801077
2019/3/18,Ground Transport,China,2.541413529
2019/3/19,Ground Transport,China,2.546875137
2019/3/20,Ground Transport,China,2.536761377
2019/3/21,Ground Transport,China,2.544384536
2019/3/22,Ground Transport,China,2.544384536
2019/3/23,Ground Transport,China,2.511791577
2019/3/24,Ground Transport,China,2.456893598
2019/3/25,Ground Transport,China,2.535835672
2019/3/26,Ground Transport,China,2.542115008
2019/3/27,Ground Transport,China,2.537959444
2019/3/28,Ground Transport,China,2.538770038
2019/3/29,Ground Transport,China,2.576413273
2019/3/30,Ground Transport,China,2.508712908
2019/3/31,Ground Transport,China,2.464779654
2019/4/1,Ground Transport,China,2.532064806
2019/4/2,Ground Transport,China,2.536943383
2019/4/3,Ground Transport,China,2.533563038
2019/4/4,Ground Transport,China,2.535261508
2019/4/5,Ground Transport,China,2.56151343
2019/4/6,Ground Transport,China,2.508025099
2019/4/7,Ground Transport,China,2.442036241
2019/4/8,Ground Transport,China,2.528440639
2019/4/9,Ground Transport,China,2.532147722
2019/4/10,Ground Transport,China,2.530267791
2019/4/11,Ground Transport,China,2.533986218
2019/4/12,Ground Transport,China,2.57177412
2019/4/13,Ground Transport,China,2.507268543
2019/4/14,Ground Transport,China,2.438843351
2019/4/15,Ground Transport,China,2.525607026
2019/4/16,Ground Transport,China,2.53230347
2019/4/17,Ground Transport,China,2.530168707
2019/4/18,Ground Transport,China,2.533120559
2019/4/19,Ground Transport,China,2.57117845
2019/4/20,Ground Transport,China,2.502170489
2019/4/21,Ground Transport,China,2.438843351
2019/4/22,Ground Transport,China,2.525607026
2019/4/23,Ground Transport,China,2.53230347
2019/4/24,Ground Transport,China,2.530168707
2019/4/25,Ground Transport,China,2.533120559
2019/4/26,Ground Transport,China,2.57117845
2019/4/27,Ground Transport,China,2.502170489
2019/4/28,Ground Transport,China,2.438843351
2019/4/29,Ground Transport,China,2.525607026
2019/4/30,Ground Transport,China,2.53230347
2019/5/1,Ground Transport,China,2.530168707
2019/5/2,Ground Transport,China,2.533120559
2019/5/3,Ground Transport,China,2.57117845
2019/5/4,Ground Transport,China,2.502170489
2019/5/5,Ground Transport,China,2.438843351
2019/5/6,Ground Transport,China,2.525607026
2019/5/7,Ground Transport,China,2.53230347
2019/5/8,Ground Transport,China,2.530168707
2019/5/9,Ground Transport,China,2.533120559
2019/5/10,Ground Transport,China,2.57117845
2019/5/11,Ground Transport,China,2.502170489
2019/5/12,Ground Transport,China,2.438843351
2019/5/13,Ground Transport,China,2.525607026
2019/5/14,Ground Transport,China,2.53230347
2019/5/15,Ground Transport,China,2.530168707
2019/5/16,Ground Transport,China,2.533120559
2019/5/17,Ground Transport,China,2.57117845
2019/5/18,Ground Transport,China,2.502170489
2019/5/19,Ground Transport,China,2.438843351
2019/5/20,Ground Transport,China,2.525607026
2019/5/21,Ground Transport,China,2.53230347
2019/5/22,Ground Transport,China,2.530168707
2019/5/23,Ground Transport,China,2.533120559
2019/5/24,Ground Transport,China,2.57117845
2019/5/25,Ground Transport,China,2.502170489
2019/5/26,Ground Transport,China,2.438843351
2019/5/27,Ground Transport,China,2.525607026
2019/5/28,Ground Transport,China,2.53230347
2019/5/29,Ground Transport,China,2.530168707
2019/5/30,Ground Transport,China,2.533120559
2019/5/31,Ground Transport,China,2.57117845
2019/6/1,Ground Transport,China,2.502170489
2019/6/2,Ground Transport,China,2.438843351
2019/6/3,Ground Transport,China,2.525607026
2019/6/4,Ground Transport,China,2.53230347
2019/6/5,Ground Transport,China,2.530168707
2019/6/6,Ground Transport,China,2.533120559
2019/6/7,Ground Transport,China,2.57117845
2019/6/8,Ground Transport,China,2.502170489
2019/6/9,Ground Transport,China,2.438843351
2019/6/10,Ground Transport,China,2.525607026
2019/6/11,Ground Transport,China,2.53230347
2019/6/12,Ground Transport,China,2.530168707
2019/6/13,Ground Transport,China,2.533120559
2019/6/14,Ground Transport,China,2.57117845
2019/6/15,Ground Transport,China,2.502170489
2019/6/16,Ground Transport,China,2.438843351
2019/6/17,Ground Transport,China,2.525607026
2019/6/18,Ground Transport,China,2.53230347
2019/6/19,Ground Transport,China,2.530168707
2019/6/20,Ground Transport,China,2.533120559
2019/6/21,Ground Transport,China,2.57117845
2019/6/22,Ground Transport,China,2.502170489
2019/6/23,Ground Transport,China,2.438843351
2019/6/24,Ground Transport,China,2.525607026
2019/6/25,Ground Transport,China,2.53230347
2019/6/26,Ground Transport,China,2.530168707
2019/6/27,Ground Transport,China,2.533120559
2019/6/28,Ground Transport,China,2.57117845
2019/6/29,Ground Transport,China,2.502170489
2019/6/30,Ground Transport,China,2.438843351
2019/7/1,Ground Transport,China,2.525607026
2019/7/2,Ground Transport,China,2.53230347
2019/7/3,Ground Transport,China,2.530168707
2019/7/4,Ground Transport,China,2.533120559
2019/7/5,Ground Transport,China,2.57117845
2019/7/6,Ground Transport,China,2.502170489
2019/7/7,Ground Transport,China,2.438843351
2019/7/8,Ground Transport,China,2.525607026
2019/7/9,Ground Transport,China,2.53230347
2019/7/10,Ground Transport,China,2.530168707
2019/7/11,Ground Transport,China,2.533120559
2019/7/12,Ground Transport,China,2.57117845
2019/7/13,Ground Transport,China,2.502170489
2019/7/14,Ground Transport,China,2.438843351
2019/7/15,Ground Transport,China,2.525607026
2019/7/16,Ground Transport,China,2.53230347
2019/7/17,Ground Transport,China,2.530168707
2019/7/18,Ground Transport,China,2.533120559
2019/7/19,Ground Transport,China,2.57117845
2019/7/20,Ground Transport,China,2.502170489
2019/7/21,Ground Transport,China,2.438843351
2019/7/22,Ground Transport,China,2.525607026
2019/7/23,Ground Transport,China,2.53230347
2019/7/24,Ground Transport,China,2.530168707
2019/7/25,Ground Transport,China,2.533120559
2019/7/26,Ground Transport,China,2.57117845
2019/7/27,Ground Transport,China,2.502170489
2019/7/28,Ground Transport,China,2.438843351
2019/7/29,Ground Transport,China,2.525607026
2019/7/30,Ground Transport,China,2.53230347
2019/7/31,Ground Transport,China,2.530168707
2019/8/1,Ground Transport,China,2.533120559
2019/8/2,Ground Transport,China,2.57117845
2019/8/3,Ground Transport,China,2.502170489
2019/8/4,Ground Transport,China,2.438843351
2019/8/5,Ground Transport,China,2.525607026
2019/8/6,Ground Transport,China,2.53230347
2019/8/7,Ground Transport,China,2.530168707
2019/8/8,Ground Transport,China,2.533120559
2019/8/9,Ground Transport,China,2.57117845
2019/8/10,Ground Transport,China,2.502170489
2019/8/11,Ground Transport,China,2.438843351
2019/8/12,Ground Transport,China,2.525607026
2019/8/13,Ground Transport,China,2.53230347
2019/8/14,Ground Transport,China,2.530168707
2019/8/15,Ground Transport,China,2.533120559
2019/8/16,Ground Transport,China,2.57117845
2019/8/17,Ground Transport,China,2.502170489
2019/8/18,Ground Transport,China,2.438843351
2019/8/19,Ground Transport,China,2.525607026
2019/8/20,Ground Transport,China,2.53230347
2019/8/21,Ground Transport,China,2.530168707
2019/8/22,Ground Transport,China,2.533120559
