date,sector,country,co2
2019/1/1,International Aviation,China,0.076896841
2019/1/2,International Aviation,China,0.077739409
2019/1/3,International Aviation,China,0.078573198
2019/1/4,International Aviation,China,0.078560326
2019/1/5,International Aviation,China,0.084902068
2019/1/6,International Aviation,China,0.081610747
2019/1/7,International Aviation,China,0.077738442
2019/1/8,International Aviation,China,0.080503846
2019/1/9,International Aviation,China,0.080393688
2019/1/10,International Aviation,China,0.087760681
2019/1/11,International Aviation,China,0.076143477
2019/1/12,International Aviation,China,0.086065428
2019/1/13,International Aviation,China,0.083425474
2019/1/14,International Aviation,China,0.080164849
2019/1/15,International Aviation,China,0.079972119
2019/1/16,International Aviation,China,0.068873212
2019/1/17,International Aviation,China,0.083709618
2019/1/18,International Aviation,China,0.083963584
2019/1/19,International Aviation,China,0.087500575
2019/1/20,International Aviation,China,0.084932868
2019/1/21,International Aviation,China,0.082160887
2019/1/22,International Aviation,China,0.082587031
2019/1/23,International Aviation,China,0.083842065
2019/1/24,International Aviation,China,0.084938423
2019/1/25,International Aviation,China,0.086627353
2019/1/26,International Aviation,China,0.088295084
2019/1/27,International Aviation,China,0.085624815
2019/1/28,International Aviation,China,0.078119123
2019/1/29,International Aviation,China,0.085860093
2019/1/30,International Aviation,China,0.085552833
2019/1/31,International Aviation,China,0.088763575
2019/2/1,International Aviation,China,0.088338368
2019/2/2,International Aviation,China,0.091347012
2019/2/3,International Aviation,China,0.086793368
2019/2/4,International Aviation,China,0.078747935
2019/2/5,International Aviation,China,0.079409356
2019/2/6,International Aviation,China,0.079972637
2019/2/7,International Aviation,China,0.080008098
2019/2/8,International Aviation,China,0.079723826
2019/2/9,International Aviation,China,0.081055238
2019/2/10,International Aviation,China,0.080565366
2019/2/11,International Aviation,China,0.080016809
2019/2/12,International Aviation,China,0.08270697
2019/2/13,International Aviation,China,0.079506353
2019/2/14,International Aviation,China,0.081299028
2019/2/15,International Aviation,China,0.085380299
2019/2/16,International Aviation,China,0.086048884
2019/2/17,International Aviation,China,0.083348274
2019/2/18,International Aviation,China,0.080322624
2019/2/19,International Aviation,China,0.082953995
2019/2/20,International Aviation,China,0.082936493
2019/2/21,International Aviation,China,0.083288322
2019/2/22,International Aviation,China,0.084120341
2019/2/23,International Aviation,China,0.08646615
2019/2/24,International Aviation,China,0.084657615
2019/2/25,International Aviation,China,0.079515779
2019/2/26,International Aviation,China,0.08314053
2019/2/27,International Aviation,China,0.082941769
2019/2/28,International Aviation,China,0.084315175
2019/3/1,International Aviation,China,0.083041593
2019/3/2,International Aviation,China,0.083144955
2019/3/3,International Aviation,China,0.08453214
2019/3/4,International Aviation,China,0.077954334
2019/3/5,International Aviation,China,0.079538451
2019/3/6,International Aviation,China,0.081689281
2019/3/7,International Aviation,China,0.082656824
2019/3/8,International Aviation,China,0.083522435
2019/3/9,International Aviation,China,0.084205117
2019/3/10,International Aviation,China,0.082089275
2019/3/11,International Aviation,China,0.079882587
2019/3/12,International Aviation,China,0.080576758
2019/3/13,International Aviation,China,0.081038827
2019/3/14,International Aviation,China,0.08299984
2019/3/15,International Aviation,China,0.083235849
2019/3/16,International Aviation,China,0.084878427
2019/3/17,International Aviation,China,0.083875895
2019/3/18,International Aviation,China,0.078901811
2019/3/19,International Aviation,China,0.082048412
2019/3/20,International Aviation,China,0.082668085
2019/3/21,International Aviation,China,0.083318441
2019/3/22,International Aviation,China,0.08534109
2019/3/23,International Aviation,China,0.085869418
2019/3/24,International Aviation,China,0.086308138
2019/3/25,International Aviation,China,0.080648465
2019/3/26,International Aviation,China,0.080709836
2019/3/27,International Aviation,China,0.083532693
2019/3/28,International Aviation,China,0.085000898
2019/3/29,International Aviation,China,0.085367433
2019/3/30,International Aviation,China,0.084538419
2019/3/31,International Aviation,China,0.085406777
2019/4/1,International Aviation,China,0.080714053
2019/4/2,International Aviation,China,0.085515279
2019/4/3,International Aviation,China,0.084872374
2019/4/4,International Aviation,China,0.087083382
2019/4/5,International Aviation,China,0.087892293
2019/4/6,International Aviation,China,0.085836742
2019/4/7,International Aviation,China,0.087288009
2019/4/8,International Aviation,China,0.079823089
2019/4/9,International Aviation,China,0.086391569
2019/4/10,International Aviation,China,0.103824901
2019/4/11,International Aviation,China,0.054703675
2019/4/12,International Aviation,China,0.088437445
2019/4/13,International Aviation,China,0.087356516
2019/4/14,International Aviation,China,0.086188678
2019/4/15,International Aviation,China,0.08264947
2019/4/16,International Aviation,China,0.086607263
2019/4/17,International Aviation,China,0.087322871
2019/4/18,International Aviation,China,0.086699266
2019/4/19,International Aviation,China,0.087606734
2019/4/20,International Aviation,China,0.088196977
2019/4/21,International Aviation,China,0.089122211
2019/4/22,International Aviation,China,0.082158149
2019/4/23,International Aviation,China,0.086512946
2019/4/24,International Aviation,China,0.086608154
2019/4/25,International Aviation,China,0.086173835
2019/4/26,International Aviation,China,0.089224097
2019/4/27,International Aviation,China,0.089284831
2019/4/28,International Aviation,China,0.087415734
2019/4/29,International Aviation,China,0.082592352
2019/4/30,International Aviation,China,0.08724251
2019/5/1,International Aviation,China,0.086975816
2019/5/2,International Aviation,China,0.084833304
2019/5/3,International Aviation,China,0.084415763
2019/5/4,International Aviation,China,0.085088971
2019/5/5,International Aviation,China,0.086095686
2019/5/6,International Aviation,China,0.079123897
2019/5/7,International Aviation,China,0.084346108
2019/5/8,International Aviation,China,0.084952818
2019/5/9,International Aviation,China,0.087757231
2019/5/10,International Aviation,China,0.086029459
2019/5/11,International Aviation,China,0.088630997
2019/5/12,International Aviation,China,0.086353188
2019/5/13,International Aviation,China,0.082359561
2019/5/14,International Aviation,China,0.084942772
2019/5/15,International Aviation,China,0.085280007
2019/5/16,International Aviation,China,0.087891753
2019/5/17,International Aviation,China,0.087300013
2019/5/18,International Aviation,China,0.088699842
2019/5/19,International Aviation,China,0.086911838
2019/5/20,International Aviation,China,0.08101771
2019/5/21,International Aviation,China,0.085257712
2019/5/22,International Aviation,China,0.085667952
2019/5/23,International Aviation,China,0.087099888
2019/5/24,International Aviation,China,0.08836187
2019/5/25,International Aviation,China,0.08712665
2019/5/26,International Aviation,China,0.087946058
2019/5/27,International Aviation,China,0.080574515
2019/5/28,International Aviation,China,0.085119812
2019/5/29,International Aviation,China,0.087179672
2019/5/30,International Aviation,China,0.086287405
2019/5/31,International Aviation,China,0.08973529
2019/6/1,International Aviation,China,0.088412219
2019/6/2,International Aviation,China,0.089161942
2019/6/3,International Aviation,China,0.082013586
2019/6/4,International Aviation,China,0.084927585
2019/6/5,International Aviation,China,0.086263521
2019/6/6,International Aviation,China,0.088171384
2019/6/7,International Aviation,China,0.088030277
2019/6/8,International Aviation,China,0.087781786
2019/6/9,International Aviation,China,0.088563272
2019/6/10,International Aviation,China,0.08086795
2019/6/11,International Aviation,China,0.085599624
2019/6/12,International Aviation,China,0.087051952
2019/6/13,International Aviation,China,0.08627734
2019/6/14,International Aviation,China,0.089350017
2019/6/15,International Aviation,China,0.087382927
2019/6/16,International Aviation,China,0.088270025
2019/6/17,International Aviation,China,0.082284259
2019/6/18,International Aviation,China,0.086367322
2019/6/19,International Aviation,China,0.087179811
2019/6/20,International Aviation,China,0.087344611
2019/6/21,International Aviation,China,0.090498833
2019/6/22,International Aviation,China,0.089202767
2019/6/23,International Aviation,China,0.088555324
2019/6/24,International Aviation,China,0.083861991
2019/6/25,International Aviation,China,0.087272773
2019/6/26,International Aviation,China,0.08860023
2019/6/27,International Aviation,China,0.09063502
2019/6/28,International Aviation,China,0.088679986
2019/6/29,International Aviation,China,0.090409496
2019/6/30,International Aviation,China,0.090439566
2019/7/1,International Aviation,China,0.084815116
2019/7/2,International Aviation,China,0.08652394
2019/7/3,International Aviation,China,0.091480494
2019/7/4,International Aviation,China,0.090884486
2019/7/5,International Aviation,China,0.090395048
2019/7/6,International Aviation,China,0.089737308
2019/7/7,International Aviation,China,0.089760933
2019/7/8,International Aviation,China,0.084598419
2019/7/9,International Aviation,China,0.089421547
2019/7/10,International Aviation,China,0.090227775
2019/7/11,International Aviation,China,0.090232393
2019/7/12,International Aviation,China,0.092184171
2019/7/13,International Aviation,China,0.092194045
2019/7/14,International Aviation,China,0.090530847
2019/7/15,International Aviation,China,0.085411044
2019/7/16,International Aviation,China,0.08930175
2019/7/17,International Aviation,China,0.090408529
2019/7/18,International Aviation,China,0.09244914
2019/7/19,International Aviation,China,0.09263572
2019/7/20,International Aviation,China,0.09240106
2019/7/21,International Aviation,China,0.09170319
2019/7/22,International Aviation,China,0.085637356
2019/7/23,International Aviation,China,0.089490008
2019/7/24,International Aviation,China,0.091875667
2019/7/25,International Aviation,China,0.09203519
2019/7/26,International Aviation,China,0.094628301
2019/7/27,International Aviation,China,0.09113813
2019/7/28,International Aviation,China,0.091294056
2019/7/29,International Aviation,China,0.085293251
2019/7/30,International Aviation,China,0.089307022
2019/7/31,International Aviation,China,0.089629867
2019/8/1,International Aviation,China,0.092093998
2019/8/2,International Aviation,China,0.093387745
2019/8/3,International Aviation,China,0.091952698
2019/8/4,International Aviation,China,0.091536889
2019/8/5,International Aviation,China,0.082415142
2019/8/6,International Aviation,China,0.087103913
2019/8/7,International Aviation,China,0.091812664
2019/8/8,International Aviation,China,0.090084537
2019/8/9,International Aviation,China,0.084453442
2019/8/10,International Aviation,China,0.070901066
2019/8/11,International Aviation,China,0.090953254
2019/8/12,International Aviation,China,0.087733988
2019/8/13,International Aviation,China,0.088822485
2019/8/14,International Aviation,China,0.089603671
2019/8/15,International Aviation,China,0.08859706
2019/8/16,International Aviation,China,0.093643157
2019/8/17,International Aviation,China,0.091291354
2019/8/18,International Aviation,China,0.093083168
2019/8/19,International Aviation,China,0.085464125
2019/8/20,International Aviation,China,0.093209815
2019/8/21,International Aviation,China,0.09151283
2019/8/22,International Aviation,China,0.09178966
2019/8/23,International Aviation,China,0.092237257
2019/8/24,International Aviation,China,0.090804997
2019/8/25,International Aviation,China,0.090195079
2019/8/26,International Aviation,China,0.086744997
2019/8/27,International Aviation,China,0.0877396
2019/8/28,International Aviation,China,0.091028868
2019/8/29,International Aviation,China,0.089613026
2019/8/30,International Aviation,China,0.091075579
2019/8/31,International Aviation,China,0.089737505
2019/9/1,International Aviation,China,0.090002887
2019/9/2,International Aviation,China,0.083704469
2019/9/3,International Aviation,China,0.085609446
2019/9/4,International Aviation,China,0.08946734
2019/9/5,International Aviation,China,0.086768802
2019/9/6,International Aviation,China,0.088806618
2019/9/7,International Aviation,China,0.088021663
2019/9/8,International Aviation,China,0.087355076
2019/9/9,International Aviation,China,0.083331815
2019/9/10,International Aviation,China,0.086229279
2019/9/11,International Aviation,China,0.087400003
2019/9/12,International Aviation,China,0.087758149
2019/9/13,International Aviation,China,0.088044927
2019/9/14,International Aviation,China,0.086876586
2019/9/15,International Aviation,China,0.090135593
2019/9/16,International Aviation,China,0.084970215
2019/9/17,International Aviation,China,0.08786346
2019/9/18,International Aviation,China,0.087803144
2019/9/19,International Aviation,China,0.088188889
2019/9/20,International Aviation,China,0.090637536
2019/9/21,International Aviation,China,0.088902735
2019/9/22,International Aviation,China,0.089652187
2019/9/23,International Aviation,China,0.084008584
2019/9/24,International Aviation,China,0.084881532
2019/9/25,International Aviation,China,0.090437081
2019/9/26,International Aviation,China,0.08863942
2019/9/27,International Aviation,China,0.090635885
2019/9/28,International Aviation,China,0.089221909
2019/9/29,International Aviation,China,0.090668337
2019/9/30,International Aviation,China,0.085514214
2019/10/1,International Aviation,China,0.082790914
2019/10/2,International Aviation,China,0.088593247
2019/10/3,International Aviation,China,0.086600396
2019/10/4,International Aviation,China,0.084479986
2019/10/5,International Aviation,China,0.084911679
2019/10/6,International Aviation,China,0.084946737
2019/10/7,International Aviation,China,0.080925749
2019/10/8,International Aviation,China,0.085805857
2019/10/9,International Aviation,China,0.08438135
2019/10/10,International Aviation,China,0.086579989
2019/10/11,International Aviation,China,0.087457421
2019/10/12,International Aviation,China,0.080652921
2019/10/13,International Aviation,China,0.089741859
2019/10/14,International Aviation,China,0.084319048
2019/10/15,International Aviation,China,0.087751348
2019/10/16,International Aviation,China,0.086827312
2019/10/17,International Aviation,China,0.0858249
2019/10/18,International Aviation,China,0.090054222
2019/10/19,International Aviation,China,0.088196327
2019/10/20,International Aviation,China,0.088399116
2019/10/21,International Aviation,China,0.082118496
2019/10/22,International Aviation,China,0.085927738
2019/10/23,International Aviation,China,0.086643366
2019/10/24,International Aviation,China,0.08782966
2019/10/25,International Aviation,China,0.088264159
2019/10/26,International Aviation,China,0.085393903
2019/10/27,International Aviation,China,0.086457501
2019/10/28,International Aviation,China,0.082002962
2019/10/29,International Aviation,China,0.085050333
2019/10/30,International Aviation,China,0.082132818
2019/10/31,International Aviation,China,0.084755793
2019/11/1,International Aviation,China,0.084244129
2019/11/2,International Aviation,China,0.088185229
2019/11/3,International Aviation,China,0.085583997
2019/11/4,International Aviation,China,0.081766752
2019/11/5,International Aviation,China,0.08457451
2019/11/6,International Aviation,China,0.083332026
2019/11/7,International Aviation,China,0.083336305
2019/11/8,International Aviation,China,0.084987234
2019/11/9,International Aviation,China,0.08660048
2019/11/10,International Aviation,China,0.083451683
2019/11/11,International Aviation,China,0.082662771
2019/11/12,International Aviation,China,0.083747484
2019/11/13,International Aviation,China,0.082829115
2019/11/14,International Aviation,China,0.083826901
2019/11/15,International Aviation,China,0.087141928
2019/11/16,International Aviation,China,0.087652137
2019/11/17,International Aviation,China,0.08431018
2019/11/18,International Aviation,China,0.082772262
2019/11/19,International Aviation,China,0.084106547
2019/11/20,International Aviation,China,0.086390985
2019/11/21,International Aviation,China,0.085770029
2019/11/22,International Aviation,China,0.086250817
2019/11/23,International Aviation,China,0.088252969
2019/11/24,International Aviation,China,0.08575576
2019/11/25,International Aviation,China,0.081923143
2019/11/26,International Aviation,China,0.082293449
2019/11/27,International Aviation,China,0.083012521
2019/11/28,International Aviation,China,0.084030239
2019/11/29,International Aviation,China,0.081375599
2019/11/30,International Aviation,China,0.089408612
2019/12/1,International Aviation,China,0.084773514
2019/12/2,International Aviation,China,0.081297697
2019/12/3,International Aviation,China,0.082394379
2019/12/4,International Aviation,China,0.083535806
2019/12/5,International Aviation,China,0.084618146
2019/12/6,International Aviation,China,0.085850064
2019/12/7,International Aviation,China,0.086825617
2019/12/8,International Aviation,China,0.087058387
2019/12/9,International Aviation,China,0.079484471
2019/12/10,International Aviation,China,0.083714577
2019/12/11,International Aviation,China,0.084772726
2019/12/12,International Aviation,China,0.086806276
2019/12/13,International Aviation,China,0.085298279
2019/12/14,International Aviation,China,0.090870807
2019/12/15,International Aviation,China,0.085635741
2019/12/16,International Aviation,China,0.082069198
2019/12/17,International Aviation,China,0.08878509
2019/12/18,International Aviation,China,0.08537606
2019/12/19,International Aviation,China,0.087052296
2019/12/20,International Aviation,China,0.086010867
2019/12/21,International Aviation,China,0.091766765
2019/12/22,International Aviation,China,0.085180064
2019/12/23,International Aviation,China,0.082380747
2019/12/24,International Aviation,China,0.082512792
2019/12/25,International Aviation,China,0.078650604
2019/12/26,International Aviation,China,0.080924619
2019/12/27,International Aviation,China,0.08244705
2019/12/28,International Aviation,China,0.087226702
2019/12/29,International Aviation,China,0.082153842
2019/12/30,International Aviation,China,0.080400707
2019/12/31,International Aviation,China,0.084065233
2020/1/1,International Aviation,China,0.082305716
2020/1/2,International Aviation,China,0.084311455
2020/1/3,International Aviation,China,0.084611111
2020/1/4,International Aviation,China,0.088578015
2020/1/5,International Aviation,China,0.084767067
2020/1/6,International Aviation,China,0.082021252
2020/1/7,International Aviation,China,0.086609083
2020/1/8,International Aviation,China,0.084314431
2020/1/9,International Aviation,China,0.087683884
2020/1/10,International Aviation,China,0.088339651
2020/1/11,International Aviation,China,0.092755836
2020/1/12,International Aviation,China,0.087983688
2020/1/13,International Aviation,China,0.084632489
2020/1/14,International Aviation,China,0.088245396
2020/1/15,International Aviation,China,0.08892436
2020/1/16,International Aviation,China,0.092148921
2020/1/17,International Aviation,China,0.09003029
2020/1/18,International Aviation,China,0.09422885
2020/1/19,International Aviation,China,0.092502998
2020/1/20,International Aviation,China,0.088004181
2020/1/21,International Aviation,China,0.092708047
2020/1/22,International Aviation,China,0.091458413
2020/1/23,International Aviation,China,0.095159915
2020/1/24,International Aviation,China,0.086463064
2020/1/25,International Aviation,China,0.085793552
2020/1/26,International Aviation,China,0.085793828
2020/1/27,International Aviation,China,0.079415899
2020/1/28,International Aviation,China,0.082319308
2020/1/29,International Aviation,China,0.080988053
2020/1/30,International Aviation,China,0.080761967
2020/1/31,International Aviation,China,0.075214591
2020/2/1,International Aviation,China,0.062719417
2020/2/2,International Aviation,China,0.055818136
2020/2/3,International Aviation,China,0.045465771
2020/2/4,International Aviation,China,0.040420864
2020/2/5,International Aviation,China,0.036387271
2020/2/6,International Aviation,China,0.032846291
2020/2/7,International Aviation,China,0.034022772
2020/2/8,International Aviation,China,0.031433627
2020/2/9,International Aviation,China,0.031274116
2020/2/10,International Aviation,China,0.02494433
2020/2/11,International Aviation,China,0.022247894
2020/2/12,International Aviation,China,0.023506802
2020/2/13,International Aviation,China,0.020690228
2020/2/14,International Aviation,China,0.021543458
2020/2/15,International Aviation,China,0.021226872
2020/2/16,International Aviation,China,0.023445821
2020/2/17,International Aviation,China,0.017999315
2020/2/18,International Aviation,China,0.017105279
2020/2/19,International Aviation,China,0.019737597
2020/2/20,International Aviation,China,0.017852455
2020/2/21,International Aviation,China,0.019254689
2020/2/22,International Aviation,China,0.018400736
2020/2/23,International Aviation,China,0.018513711
2020/2/24,International Aviation,China,0.018034564
2020/2/25,International Aviation,China,0.015711443
2020/2/26,International Aviation,China,0.019080426
2020/2/27,International Aviation,China,0.018466903
2020/2/28,International Aviation,China,0.021968293
2020/2/29,International Aviation,China,0.019349705
2020/3/1,International Aviation,China,0.022543357
2020/3/2,International Aviation,China,0.018945704
2020/3/3,International Aviation,China,0.017886172
2020/3/4,International Aviation,China,0.021157899
2020/3/5,International Aviation,China,0.018611076
2020/3/6,International Aviation,China,0.021097178
2020/3/7,International Aviation,China,0.021581799
2020/3/8,International Aviation,China,0.02055676
2020/3/9,International Aviation,China,0.018091065
2020/3/10,International Aviation,China,0.019090204
2020/3/11,International Aviation,China,0.020884471
2020/3/12,International Aviation,China,0.019784875
2020/3/13,International Aviation,China,0.021647063
2020/3/14,International Aviation,China,0.023160388
2020/3/15,International Aviation,China,0.020657639
2020/3/16,International Aviation,China,0.019699058
2020/3/17,International Aviation,China,0.019723207
2020/3/18,International Aviation,China,0.023713139
2020/3/19,International Aviation,China,0.021449984
2020/3/20,International Aviation,China,0.02306947
2020/3/21,International Aviation,China,0.022817873
2020/3/22,International Aviation,China,0.020993088
2020/3/23,International Aviation,China,0.02139314
2020/3/24,International Aviation,China,0.018850167
2020/3/25,International Aviation,China,0.023362554
2020/3/26,International Aviation,China,0.020762984
2020/3/27,International Aviation,China,0.021924679
2020/3/28,International Aviation,China,0.022892124
2020/3/29,International Aviation,China,0.016359412
2020/3/30,International Aviation,China,0.015389249
2020/3/31,International Aviation,China,0.018398577
2020/4/1,International Aviation,China,0.022431363
2020/4/2,International Aviation,China,0.021197768
2020/4/3,International Aviation,China,0.022500865
2020/4/4,International Aviation,China,0.02320689
2020/4/5,International Aviation,China,0.023876199
2020/4/6,International Aviation,China,0.018963841
2020/4/7,International Aviation,China,0.021446958
2020/4/8,International Aviation,China,0.027069858
2020/4/9,International Aviation,China,0.024294993
2020/4/10,International Aviation,China,0.027272139
2020/4/11,International Aviation,China,0.030143301
2020/4/12,International Aviation,China,0.029334953
2020/4/13,International Aviation,China,0.02176197
2020/4/14,International Aviation,China,0.024091391
2020/4/15,International Aviation,China,0.031285987
2020/4/16,International Aviation,China,0.027202943
2020/4/17,International Aviation,China,0.024868829
2020/4/18,International Aviation,China,0.026645341
2020/4/19,International Aviation,China,0.027097902
2020/4/20,International Aviation,China,0.025393599
2020/4/21,International Aviation,China,0.032215998
2020/4/22,International Aviation,China,0.035080402
2020/4/23,International Aviation,China,0.038838203
2020/4/24,International Aviation,China,0.040665605
2020/4/25,International Aviation,China,0.042226486
2020/4/26,International Aviation,China,0.039577325
2020/4/27,International Aviation,China,0.038300519
2020/4/28,International Aviation,China,0.040570044
2020/4/29,International Aviation,China,0.042916712
2020/4/30,International Aviation,China,0.045437229
2020/5/1,International Aviation,China,0.0451032
2020/5/2,International Aviation,China,0.043855232
2020/5/3,International Aviation,China,0.040515035
2020/5/4,International Aviation,China,0.039060064
2020/5/5,International Aviation,China,0.04095146
2020/5/6,International Aviation,China,0.039553432
2020/5/7,International Aviation,China,0.043511621
2020/5/8,International Aviation,China,0.043041528
