date,sector,country,co2
2019/1/1,Power,China,14.81613599
2019/1/2,Power,China,14.57712174
2019/1/3,Power,China,14.13206073
2019/1/4,Power,China,14.60184735
2019/1/5,Power,China,14.59360548
2019/1/6,Power,China,14.7007498
2019/1/7,Power,China,14.53865968
2019/1/8,Power,China,14.75294831
2019/1/9,Power,China,14.8133887
2019/1/10,Power,China,15.10460146
2019/1/11,Power,China,15.37108861
2019/1/12,Power,China,14.91229115
2019/1/13,Power,China,14.43151536
2019/1/14,Power,China,14.38206414
2019/1/15,Power,China,14.5881109
2019/1/16,Power,China,14.6155838
2019/1/17,Power,China,14.68151877
2019/1/18,Power,China,14.56338529
2019/1/19,Power,China,14.43151536
2019/1/20,Power,China,13.99194893
2019/1/21,Power,China,13.81886965
2019/1/22,Power,China,13.4122707
2019/1/23,Power,China,13.4397436
2019/1/24,Power,China,12.97545156
2019/1/25,Power,China,12.1814847
2019/1/26,Power,China,11.44521093
2019/1/27,Power,China,11.01938095
2019/1/28,Power,China,11.20344939
2019/1/29,Power,China,10.54409974
2019/1/30,Power,China,9.939695903
2019/1/31,Power,China,9.623757532
2019/2/1,Power,China,10.68339442
2019/2/2,Power,China,10.60210432
2019/2/3,Power,China,10.28007049
2019/2/4,Power,China,9.848607673
2019/2/5,Power,China,9.676647856
2019/2/6,Power,China,9.629749725
2019/2/7,Power,China,11.79225662
2019/2/8,Power,China,9.839228047
2019/2/9,Power,China,10.28319703
2019/2/10,Power,China,10.5927247
2019/2/11,Power,China,11.20240041
2019/2/12,Power,China,11.51818116
2019/2/13,Power,China,11.94339089
2019/2/14,Power,China,12.4561438
2019/2/15,Power,China,12.5968382
2019/2/16,Power,China,12.92512512
2019/2/17,Power,China,12.97827633
2019/2/18,Power,China,13.32219597
2019/2/19,Power,China,14.17886851
2019/2/20,Power,China,15.12308423
2019/2/21,Power,China,15.32318292
2019/2/22,Power,China,15.0543003
2019/2/23,Power,China,15.07618609
2019/2/24,Power,China,14.95425095
2019/2/25,Power,China,15.22313357
2019/2/26,Power,China,14.44775113
2019/2/27,Power,China,15.01052871
2019/2/28,Power,China,14.74164609
2019/3/1,Power,China,13.05525675
2019/3/2,Power,China,13.20856323
2019/3/3,Power,China,12.82395224
2019/3/4,Power,China,12.77553967
2019/3/5,Power,China,12.07624697
2019/3/6,Power,China,12.05473028
2019/3/7,Power,China,11.94714678
2019/3/8,Power,China,12.0708678
2019/3/9,Power,China,12.37748075
2019/3/10,Power,China,12.2618285
2019/3/11,Power,China,12.10852202
2019/3/12,Power,China,11.54639828
2019/3/13,Power,China,11.51143364
2019/3/14,Power,China,11.64860259
2019/3/15,Power,China,11.7534965
2019/3/16,Power,China,11.91218215
2019/3/17,Power,China,11.64591301
2019/3/18,Power,China,11.7319798
2019/3/19,Power,China,11.69432558
2019/3/20,Power,China,12.0923845
2019/3/21,Power,China,11.78577155
2019/3/22,Power,China,11.89335504
2019/3/23,Power,China,12.00362812
2019/3/24,Power,China,11.87452793
2019/3/25,Power,China,11.96059472
2019/3/26,Power,China,11.56522539
2019/3/27,Power,China,11.9229405
2019/3/28,Power,China,12.12465955
2019/3/29,Power,China,11.8583904
2019/3/30,Power,China,11.70508393
2019/3/31,Power,China,11.71584228
2019/4/1,Power,China,11.8872653
2019/4/2,Power,China,11.95925899
2019/4/3,Power,China,11.50514496
2019/4/4,Power,China,11.6795912
2019/4/5,Power,China,11.61590448
2019/4/6,Power,China,11.39438544
2019/4/7,Power,China,11.56883168
2019/4/8,Power,China,11.65467031
2019/4/9,Power,China,11.9094172
2019/4/10,Power,China,12.18077802
2019/4/11,Power,China,12.47705973
2019/4/12,Power,China,12.19185397
2019/4/13,Power,China,12.28876855
2019/4/14,Power,China,12.08940142
2019/4/15,Power,China,11.95095202
2019/4/16,Power,China,11.39438544
2019/4/17,Power,China,10.81843595
2019/4/18,Power,China,11.13133159
2019/4/19,Power,China,11.31962277
2019/4/20,Power,China,10.87935368
2019/4/21,Power,China,11.4276133
2019/4/22,Power,China,11.07318284
2019/4/23,Power,China,11.26424301
2019/4/24,Power,China,11.19501831
2019/4/25,Power,China,11.48576205
2019/4/26,Power,China,11.29193289
2019/4/27,Power,China,11.38330949
2019/4/28,Power,China,10.96519231
2019/4/29,Power,China,11.11194867
2019/4/30,Power,China,10.74644226
2019/5/1,Power,China,10.51982526
2019/5/2,Power,China,9.767598143
2019/5/3,Power,China,9.92088216
2019/5/4,Power,China,10.44886044
2019/5/5,Power,China,10.63620757
2019/5/6,Power,China,10.53401822
2019/5/7,Power,China,11.01657902
2019/5/8,Power,China,10.80084596
2019/5/9,Power,China,10.74975128
2019/5/10,Power,China,10.61066023
2019/5/11,Power,China,10.41195873
2019/5/12,Power,China,10.25015894
2019/5/13,Power,China,10.36370265
2019/5/14,Power,China,11.06767369
2019/5/15,Power,China,10.6645935
2019/5/16,Power,China,11.2209577
2019/5/17,Power,China,11.39695046
2019/5/18,Power,China,11.36004876
2019/5/19,Power,China,10.73839691
2019/5/20,Power,China,10.89168093
2019/5/21,Power,China,11.07902806
2019/5/22,Power,China,10.92574404
2019/5/23,Power,China,11.01374042
2019/5/24,Power,China,10.68730224
2019/5/25,Power,China,10.55672697
2019/5/26,Power,China,10.31828516
2019/5/27,Power,China,10.55956556
2019/5/28,Power,China,10.31544657
2019/5/29,Power,China,10.1848713
2019/5/30,Power,China,10.19622567
2019/5/31,Power,China,10.19906426
2019/6/1,Power,China,10.33356919
2019/6/2,Power,China,10.30774961
2019/6/3,Power,China,10.22168435
2019/6/4,Power,China,10.62619109
2019/6/5,Power,China,11.09381235
2019/6/6,Power,China,11.21717256
2019/6/7,Power,China,11.58725319
2019/6/8,Power,China,11.15405803
2019/6/9,Power,China,11.44094224
2019/6/10,Power,China,12.06921866
2019/6/11,Power,China,12.78929802
2019/6/12,Power,China,12.63724939
2019/6/13,Power,China,12.60856097
2019/6/14,Power,China,12.3446275
2019/6/15,Power,China,12.83806833
2019/6/16,Power,China,12.52536455
2019/6/17,Power,China,12.46225002
2019/6/18,Power,China,12.66880665
2019/6/19,Power,China,13.17372286
2019/6/20,Power,China,12.57413486
2019/6/21,Power,China,12.57987255
2019/6/22,Power,China,12.42782392
2019/6/23,Power,China,12.15815276
2019/6/24,Power,China,11.58438434
2019/6/25,Power,China,11.46389298
2019/6/26,Power,China,11.64463003
2019/6/27,Power,China,12.01184181
2019/6/28,Power,China,12.19831655
2019/6/29,Power,China,12.47372539
2019/6/30,Power,China,12.21266076
2019/7/1,Power,China,12.07262617
2019/7/2,Power,China,11.88534847
2019/7/3,Power,China,12.50146496
2019/7/4,Power,China,12.01834278
2019/7/5,Power,China,11.63835904
2019/7/6,Power,China,11.17966439
2019/7/7,Power,China,11.08738262
2019/7/8,Power,China,11.36694208
2019/7/9,Power,China,11.90434766
2019/7/10,Power,China,12.43361072
2019/7/11,Power,China,12.39018401
2019/7/12,Power,China,12.43361072
2019/7/13,Power,China,12.30061641
2019/7/14,Power,China,12.33861478
2019/7/15,Power,China,12.36575648
2019/7/16,Power,China,12.37389899
2019/7/17,Power,China,13.2641466
