date,sector,country,co2
2019/1/1,Residential,China,4.348889984
2019/1/2,Residential,China,4.180772553
2019/1/3,Residential,China,3.871680702
2019/1/4,Residential,China,3.826453191
2019/1/5,Residential,China,3.909222941
2019/1/6,Residential,China,3.892202543
2019/1/7,Residential,China,3.820128346
2019/1/8,Residential,China,3.948174698
2019/1/9,Residential,China,3.937467272
2019/1/10,Residential,China,3.789597191
2019/1/11,Residential,China,3.700893282
2019/1/12,Residential,China,3.680980776
2019/1/13,Residential,China,3.672878673
2019/1/14,Residential,China,3.607750103
2019/1/15,Residential,China,4.082794767
2019/1/16,Residential,China,4.12115581
2019/1/17,Residential,China,3.890545477
2019/1/18,Residential,China,3.587464462
2019/1/19,Residential,China,3.537560559
2019/1/20,Residential,China,3.73651427
2019/1/21,Residential,China,3.775421403
2019/1/22,Residential,China,3.580444272
2019/1/23,Residential,China,3.4765731
2019/1/24,Residential,China,3.313003195
2019/1/25,Residential,China,3.4795626
2019/1/26,Residential,China,3.633516257
2019/1/27,Residential,China,3.434766616
2019/1/28,Residential,China,3.444229328
2019/1/29,Residential,China,3.270372446
2019/1/30,Residential,China,3.495447845
2019/1/31,Residential,China,3.832880424
2019/2/1,Residential,China,3.732532844
2019/2/2,Residential,China,3.265952331
2019/2/3,Residential,China,3.489875049
2019/2/4,Residential,China,3.444348985
2019/2/5,Residential,China,3.386046344
2019/2/6,Residential,China,3.423152713
2019/2/7,Residential,China,3.928767096
2019/2/8,Residential,China,4.126812309
2019/2/9,Residential,China,4.215370869
2019/2/10,Residential,China,4.279713207
2019/2/11,Residential,China,4.030784595
2019/2/12,Residential,China,3.854963072
2019/2/13,Residential,China,3.842761367
2019/2/14,Residential,China,3.848545449
2019/2/15,Residential,China,3.859630559
2019/2/16,Residential,China,3.902251706
2019/2/17,Residential,China,3.846593267
2019/2/18,Residential,China,3.777805453
2019/2/19,Residential,China,3.639646401
2019/2/20,Residential,China,3.52910376
2019/2/21,Residential,China,3.482883377
2019/2/22,Residential,China,3.430284012
2019/2/23,Residential,China,3.427858441
2019/2/24,Residential,China,3.300729658
2019/2/25,Residential,China,3.196903742
2019/2/26,Residential,China,3.229570903
2019/2/27,Residential,China,3.224176477
2019/2/28,Residential,China,3.127395283
2019/3/1,Residential,China,2.901235546
2019/3/2,Residential,China,2.880045744
2019/3/3,Residential,China,2.810514431
2019/3/4,Residential,China,2.588164694
2019/3/5,Residential,China,2.635661331
2019/3/6,Residential,China,2.815807763
2019/3/7,Residential,China,3.006593866
2019/3/8,Residential,China,2.836842905
2019/3/9,Residential,China,2.792296306
2019/3/10,Residential,China,2.630128305
2019/3/11,Residential,China,2.462708131
2019/3/12,Residential,China,2.575440891
2019/3/13,Residential,China,2.519743102
2019/3/14,Residential,China,2.487825946
2019/3/15,Residential,China,2.447433392
2019/3/16,Residential,China,2.288717125
2019/3/17,Residential,China,2.146919609
2019/3/18,Residential,China,2.024153449
2019/3/19,Residential,China,1.737363694
2019/3/20,Residential,China,1.974519041
2019/3/21,Residential,China,2.614222384
2019/3/22,Residential,China,2.773411357
2019/3/23,Residential,China,2.828672892
2019/3/24,Residential,China,2.494640746
2019/3/25,Residential,China,2.163781097
2019/3/26,Residential,China,1.946748814
2019/3/27,Residential,China,1.954670294
2019/3/28,Residential,China,2.260798534
2019/3/29,Residential,China,2.178575049
2019/3/30,Residential,China,2.358668248
2019/3/31,Residential,China,2.455012057
2019/4/1,Residential,China,2.218956473
2019/4/2,Residential,China,2.248364624
2019/4/3,Residential,China,2.083336835
2019/4/4,Residential,China,1.917426176
2019/4/5,Residential,China,1.769110459
2019/4/6,Residential,China,1.774876479
2019/4/7,Residential,China,1.762557195
2019/4/8,Residential,China,1.925299955
2019/4/9,Residential,China,2.292017476
2019/4/10,Residential,China,2.326854012
2019/4/11,Residential,China,2.19315987
2019/4/12,Residential,China,1.893993372
2019/4/13,Residential,China,1.831901843
2019/4/14,Residential,China,1.907451871
2019/4/15,Residential,China,1.724470571
2019/4/16,Residential,China,1.588069196
2019/4/17,Residential,China,1.497376687
2019/4/18,Residential,China,1.630144573
2019/4/19,Residential,China,1.730167919
2019/4/20,Residential,China,1.710402253
2019/4/21,Residential,China,1.645942184
2019/4/22,Residential,China,1.498300511
2019/4/23,Residential,China,1.469082294
2019/4/24,Residential,China,1.695839254
2019/4/25,Residential,China,1.876800592
2019/4/26,Residential,China,1.928292518
2019/4/27,Residential,China,1.967128575
2019/4/28,Residential,China,1.899603048
2019/4/29,Residential,China,1.742597261
2019/4/30,Residential,China,1.63894151
2019/5/1,Residential,China,1.526439224
2019/5/2,Residential,China,1.459531964
2019/5/3,Residential,China,1.411796787
2019/5/4,Residential,China,1.419381336
2019/5/5,Residential,China,1.632185505
2019/5/6,Residential,China,1.707704493
2019/5/7,Residential,China,1.649238554
2019/5/8,Residential,China,1.569422384
2019/5/9,Residential,China,1.458957461
2019/5/10,Residential,China,1.415845033
2019/5/11,Residential,China,1.393430829
2019/5/12,Residential,China,1.496853168
2019/5/13,Residential,China,1.487991108
2019/5/14,Residential,China,1.416055928
2019/5/15,Residential,China,1.373000151
2019/5/16,Residential,China,1.378014
2019/5/17,Residential,China,1.359075546
2019/5/18,Residential,China,1.411969452
2019/5/19,Residential,China,1.50667462
2019/5/20,Residential,China,1.497068791
2019/5/21,Residential,China,1.426327361
2019/5/22,Residential,China,1.380345476
2019/5/23,Residential,China,1.352642684
2019/5/24,Residential,China,1.337633609
2019/5/25,Residential,China,1.343916068
2019/5/26,Residential,China,1.419855327
2019/5/27,Residential,China,1.468525536
2019/5/28,Residential,China,1.46787306
2019/5/29,Residential,China,1.407382766
2019/5/30,Residential,China,1.398218965
2019/5/31,Residential,China,1.395380367
2019/6/1,Residential,China,1.407564902
2019/6/2,Residential,China,1.392708149
2019/6/3,Residential,China,1.383806568
2019/6/4,Residential,China,1.394246203
2019/6/5,Residential,China,1.391444777
2019/6/6,Residential,China,1.379079834
2019/6/7,Residential,China,1.378587338
2019/6/8,Residential,China,1.381783831
2019/6/9,Residential,China,1.385452644
2019/6/10,Residential,China,1.383775741
2019/6/11,Residential,China,1.385706607
2019/6/12,Residential,China,1.381202643
2019/6/13,Residential,China,1.375844497
2019/6/14,Residential,China,1.399291436
2019/6/15,Residential,China,1.413377869
2019/6/16,Residential,China,1.401716216
2019/6/17,Residential,China,1.385342793
2019/6/18,Residential,China,1.385371118
2019/6/19,Residential,China,1.37770658
2019/6/20,Residential,China,1.38086574
2019/6/21,Residential,China,1.375220358
2019/6/22,Residential,China,1.371153191
2019/6/23,Residential,China,1.373850224
2019/6/24,Residential,China,1.372056726
2019/6/25,Residential,China,1.37394134
2019/6/26,Residential,China,1.383297533
2019/6/27,Residential,China,1.403959407
2019/6/28,Residential,China,1.392029102
2019/6/29,Residential,China,1.392030905
2019/6/30,Residential,China,1.383794408
2019/7/1,Residential,China,1.330153031
2019/7/2,Residential,China,1.328323058
2019/7/3,Residential,China,1.332571802
2019/7/4,Residential,China,1.329411287
2019/7/5,Residential,China,1.337828614
2019/7/6,Residential,China,1.337367955
2019/7/7,Residential,China,1.337652652
2019/7/8,Residential,China,1.345490706
2019/7/9,Residential,China,1.34219475
2019/7/10,Residential,China,1.335448685
2019/7/11,Residential,China,1.337962314
2019/7/12,Residential,China,1.333509896
2019/7/13,Residential,China,1.331468819
2019/7/14,Residential,China,1.332756117
2019/7/15,Residential,China,1.336354254
2019/7/16,Residential,China,1.329561923
