date,sector,country,co2
2019/1/1,Industry,India,2.065113644
2019/1/2,Industry,India,2.090380267
2019/1/3,Industry,India,2.113671441
2019/1/4,Industry,India,2.134246375
2019/1/5,Industry,India,2.11818258
2019/1/6,Industry,India,2.014110432
2019/1/7,Industry,India,2.072532196
2019/1/8,Industry,India,2.144577652
2019/1/9,Industry,India,2.138754858
2019/1/10,Industry,India,2.142140205
2019/1/11,Industry,India,2.175292689
2019/1/12,Industry,India,2.162611584
2019/1/13,Industry,India,2.051869643
2019/1/14,Industry,India,1.995606534
2019/1/15,Industry,India,2.047831125
2019/1/16,Industry,India,2.097142992
2019/1/17,Industry,India,2.108695648
2019/1/18,Industry,India,2.145233479
2019/1/19,Industry,India,2.141380823
2019/1/20,Industry,India,2.064266643
2019/1/21,Industry,India,2.046749142
2019/1/22,Industry,India,2.02923164
2019/1/23,Industry,India,2.115362786
2019/1/24,Industry,India,2.078822299
2019/1/25,Industry,India,2.042568572
2019/1/26,Industry,India,1.904212835
2019/1/27,Industry,India,1.900548697
2019/1/28,Industry,India,2.004339396
2019/1/29,Industry,India,2.051301434
2019/1/30,Industry,India,2.099768956
2019/1/31,Industry,India,2.086899334
2019/2/1,Industry,India,2.159017825
2019/2/2,Industry,India,2.152473808
2019/2/3,Industry,India,2.086694307
2019/2/4,Industry,India,2.139672159
2019/2/5,Industry,India,2.245033914
2019/2/6,Industry,India,2.235806542
2019/2/7,Industry,India,2.146912645
2019/2/8,Industry,India,2.182925917
2019/2/9,Industry,India,2.18540423
2019/2/10,Industry,India,2.138576195
2019/2/11,Industry,India,2.15633447
2019/2/12,Industry,India,2.182925917
2019/2/13,Industry,India,2.23005622
2019/2/14,Industry,India,2.229165298
2019/2/15,Industry,India,2.195533112
2019/2/16,Industry,India,2.170529057
2019/2/17,Industry,India,2.145525001
2019/2/18,Industry,India,2.172915437
2019/2/19,Industry,India,2.267068228
2019/2/20,Industry,India,2.247620042
2019/2/21,Industry,India,2.246426851
2019/2/22,Industry,India,2.240179808
2019/2/23,Industry,India,2.237005026
2019/2/24,Industry,India,2.179561975
2019/2/25,Industry,India,2.207290058
2019/2/26,Industry,India,2.23501814
2019/2/27,Industry,India,2.215769701
2019/2/28,Industry,India,2.206045607
2019/3/1,Industry,India,2.166629703
2019/3/2,Industry,India,2.112799283
2019/3/3,Industry,India,2.049225879
2019/3/4,Industry,India,2.122258688
2019/3/5,Industry,India,2.177413093
2019/3/6,Industry,India,2.185264934
2019/3/7,Industry,India,2.240986497
2019/3/8,Industry,India,2.225093146
2019/3/9,Industry,India,2.209671196
2019/3/10,Industry,India,2.175238371
2019/3/11,Industry,India,2.240231517
2019/3/12,Industry,India,2.263882798
2019/3/13,Industry,India,2.264639624
2019/3/14,Industry,India,2.23739388
2019/3/15,Industry,India,2.19898541
2019/3/16,Industry,India,2.197282089
2019/3/17,Industry,India,2.151019931
2019/3/18,Industry,India,2.24070661
2019/3/19,Industry,India,2.280439064
2019/3/20,Industry,India,2.282046628
2019/3/21,Industry,India,2.010342316
2019/3/22,Industry,India,2.113082862
2019/3/23,Industry,India,2.20749832
2019/3/24,Industry,India,2.202200537
2019/3/25,Industry,India,2.280057882
2019/3/26,Industry,India,2.279963971
2019/3/27,Industry,India,2.315914141
2019/3/28,Industry,India,2.339469665
2019/3/29,Industry,India,2.367472236
2019/3/30,Industry,India,2.396325544
2019/3/31,Industry,India,2.173816784
2019/4/1,Industry,India,1.971317876
2019/4/2,Industry,India,2.054816515
2019/4/3,Industry,India,2.087722493
2019/4/4,Industry,India,2.117524248
2019/4/5,Industry,India,2.068754585
2019/4/6,Industry,India,2.026714009
2019/4/7,Industry,India,1.868481601
2019/4/8,Industry,India,2.0373562
2019/4/9,Industry,India,2.013509363
2019/4/10,Industry,India,2.035745988
2019/4/11,Industry,India,2.005868778
2019/4/12,Industry,India,2.071578117
2019/4/13,Industry,India,2.052534753
2019/4/14,Industry,India,1.987914986
2019/4/15,Industry,India,2.021225404
2019/4/16,Industry,India,1.896481488
2019/4/17,Industry,India,1.791417776
2019/4/18,Industry,India,1.840022947
2019/4/19,Industry,India,1.883584698
2019/4/20,Industry,India,1.920773509
2019/4/21,Industry,India,1.864856737
2019/4/22,Industry,India,1.967096918
2019/4/23,Industry,India,1.979184828
2019/4/24,Industry,India,2.02686492
2019/4/25,Industry,India,2.100317462
2019/4/26,Industry,India,2.10148249
2019/4/27,Industry,India,2.096541688
2019/4/28,Industry,India,2.009507223
2019/4/29,Industry,India,2.069083569
2019/4/30,Industry,India,1.996227122
2019/5/1,Industry,India,1.993715211
2019/5/2,Industry,India,1.925152182
2019/5/3,Industry,India,1.870967577
2019/5/4,Industry,India,1.892689269
2019/5/5,Industry,India,1.9244971
2019/5/6,Industry,India,2.046051278
2019/5/7,Industry,India,2.043332332
2019/5/8,Industry,India,2.056412614
2019/5/9,Industry,India,2.086356968
2019/5/10,Industry,India,2.126605821
2019/5/11,Industry,India,2.099598773
2019/5/12,Industry,India,2.038797759
2019/5/13,Industry,India,2.0584466
2019/5/14,Industry,India,2.062230391
2019/5/15,Industry,India,2.066014181
2019/5/16,Industry,India,2.11208081
2019/5/17,Industry,India,2.073647584
2019/5/18,Industry,India,2.021278606
2019/5/19,Industry,India,2.029501267
2019/5/20,Industry,India,2.141453878
2019/5/21,Industry,India,2.20833888
2019/5/22,Industry,India,2.201342586
2019/5/23,Industry,India,2.184906249
2019/5/24,Industry,India,2.100235882
2019/5/25,Industry,India,2.095539786
2019/5/26,Industry,India,2.02741943
2019/5/27,Industry,India,2.152709548
2019/5/28,Industry,India,2.204127355
2019/5/29,Industry,India,2.245174841
2019/5/30,Industry,India,2.252275822
2019/5/31,Industry,India,2.185091698
2019/6/1,Industry,India,2.124949404
2019/6/2,Industry,India,2.060775228
2019/6/3,Industry,India,2.003910115
2019/6/4,Industry,India,2.079387447
2019/6/5,Industry,India,2.135647949
2019/6/6,Industry,India,2.19190845
2019/6/7,Industry,India,2.156503946
2019/6/8,Industry,India,2.114894552
2019/6/9,Industry,India,2.140654609
2019/6/10,Industry,India,2.107421818
2019/6/11,Industry,India,2.131459647
2019/6/12,Industry,India,2.02852202
2019/6/13,Industry,India,1.973706479
2019/6/14,Industry,India,2.099086746
2019/6/15,Industry,India,2.024161501
2019/6/16,Industry,India,1.874025197
2019/6/17,Industry,India,1.906214886
2019/6/18,Industry,India,1.921900551
2019/6/19,Industry,India,1.98103753
2019/6/20,Industry,India,2.025492865
2019/6/21,Industry,India,2.082438591
2019/6/22,Industry,India,2.062104145
2019/6/23,Industry,India,1.975159985
2019/6/24,Industry,India,2.038843145
2019/6/25,Industry,India,2.090568461
2019/6/26,Industry,India,2.07170951
2019/6/27,Industry,India,2.020436128
2019/6/28,Industry,India,1.993119964
2019/6/29,Industry,India,1.988512713
2019/6/30,Industry,India,1.890387539
2019/7/1,Industry,India,2.156438894
2019/7/2,Industry,India,2.192683537
2019/7/3,Industry,India,2.220040816
2019/7/4,Industry,India,2.153613716
2019/7/5,Industry,India,2.07341492
2019/7/6,Industry,India,1.994734972
2019/7/7,Industry,India,1.854596296
2019/7/8,Industry,India,1.965432204
2019/7/9,Industry,India,1.937776759
2019/7/10,Industry,India,1.959412843
2019/7/11,Industry,India,1.936768595
2019/7/12,Industry,India,2.061176884
2019/7/13,Industry,India,2.054078519
2019/7/14,Industry,India,1.917247691
2019/7/15,Industry,India,1.971309888
2019/7/16,Industry,India,1.975881241
2019/7/17,Industry,India,2.099778847
2019/7/18,Industry,India,2.191334381
2019/7/19,Industry,India,2.252480131
2019/7/20,Industry,India,2.237474553
2019/7/21,Industry,India,2.160272235
2019/7/22,Industry,India,2.266380301
2019/7/23,Industry,India,2.330593368
2019/7/24,Industry,India,2.239831872
2019/7/25,Industry,India,2.055228361
2019/7/26,Industry,India,1.949148309
2019/7/27,Industry,India,1.835628901
2019/7/28,Industry,India,1.741445894
2019/7/29,Industry,India,1.843919932
2019/7/30,Industry,India,1.946507634
2019/7/31,Industry,India,1.953535159
2019/8/1,Industry,India,2.015609374
2019/8/2,Industry,India,1.967729404
2019/8/3,Industry,India,1.937702982
2019/8/4,Industry,India,1.894413715
2019/8/5,Industry,India,1.981383226
2019/8/6,Industry,India,1.909240468
2019/8/7,Industry,India,1.83897539
2019/8/8,Industry,India,1.895278627
2019/8/9,Industry,India,1.85002872
2019/8/10,Industry,India,1.85002872
2019/8/11,Industry,India,1.870346414
2019/8/12,Industry,India,2.029008565
2019/8/13,Industry,India,2.004579859
2019/8/14,Industry,India,1.945705702
2019/8/15,Industry,India,1.704125908
2019/8/16,Industry,India,1.796752278
2019/8/17,Industry,India,1.803019418
2019/8/18,Industry,India,1.787179897
2019/8/19,Industry,India,1.946404697
2019/8/20,Industry,India,1.998620738
2019/8/21,Industry,India,2.004218454
2019/8/22,Industry,India,2.00981617
2019/8/23,Industry,India,2.029737132
2019/8/24,Industry,India,1.945539784
2019/8/25,Industry,India,1.937928042
2019/8/26,Industry,India,2.019163492
2019/8/27,Industry,India,2.117440965
2019/8/28,Industry,India,2.215718438
2019/8/29,Industry,India,2.253913496
2019/8/30,Industry,India,2.237404551
2019/8/31,Industry,India,2.212833744
2019/9/1,Industry,India,2.01738544
2019/9/2,Industry,India,2.019978836
2019/9/3,Industry,India,2.063361603
2019/9/4,Industry,India,2.046852779
2019/9/5,Industry,India,2.013473115
2019/9/6,Industry,India,1.995795675
2019/9/7,Industry,India,1.951688875
2019/9/8,Industry,India,1.87069021
2019/9/9,Industry,India,1.982392577
2019/9/10,Industry,India,2.066037565
2019/9/11,Industry,India,2.093288345
2019/9/12,Industry,India,2.01515406
2019/9/13,Industry,India,1.994370895
2019/9/14,Industry,India,2.016405242
2019/9/15,Industry,India,1.952548401
2019/9/16,Industry,India,2.018139113
2019/9/17,Industry,India,2.063014406
2019/9/18,Industry,India,2.048819528
2019/9/19,Industry,India,2.046641074
2019/9/20,Industry,India,2.091569293
2019/9/21,Industry,India,2.103909628
2019/9/22,Industry,India,1.944429481
2019/9/23,Industry,India,2.063323496
2019/9/24,Industry,India,2.044854277
2019/9/25,Industry,India,1.964865449
2019/9/26,Industry,India,1.889904635
2019/9/27,Industry,India,1.822580052
2019/9/28,Industry,India,1.739379646
