date,sector,country,co2
2019/1/1,Industry,Japan,0.512700066
2019/1/2,Industry,Japan,0.503484838
2019/1/3,Industry,Japan,0.525418577
2019/1/4,Industry,Japan,0.581722046
2019/1/5,Industry,Japan,0.587081114
2019/1/6,Industry,Japan,0.610074014
2019/1/7,Industry,Japan,0.698240385
2019/1/8,Industry,Japan,0.730031318
2019/1/9,Industry,Japan,0.745807537
2019/1/10,Industry,Japan,0.780759841
2019/1/11,Industry,Japan,0.749227448
2019/1/12,Industry,Japan,0.706342917
2019/1/13,Industry,Japan,0.617388348
2019/1/14,Industry,Japan,0.652030559
2019/1/15,Industry,Japan,0.757171231
2019/1/16,Industry,Japan,0.737410527
2019/1/17,Industry,Japan,0.733487973
2019/1/18,Industry,Japan,0.730457622
2019/1/19,Industry,Japan,0.656675816
2019/1/20,Industry,Japan,0.623286089
2019/1/21,Industry,Japan,0.707033833
2019/1/22,Industry,Japan,0.732071132
2019/1/23,Industry,Japan,0.726500617
2019/1/24,Industry,Japan,0.735039955
2019/1/25,Industry,Japan,0.746968719
2019/1/26,Industry,Japan,0.711066556
2019/1/27,Industry,Japan,0.656669744
2019/1/28,Industry,Japan,0.760571222
2019/1/29,Industry,Japan,0.744328454
2019/1/30,Industry,Japan,0.739052107
2019/1/31,Industry,Japan,0.776700907
2019/2/1,Industry,Japan,0.86022555
2019/2/2,Industry,Japan,0.783536017
2019/2/3,Industry,Japan,0.725026088
2019/2/4,Industry,Japan,0.7533013
2019/2/5,Industry,Japan,0.819562795
2019/2/6,Industry,Japan,0.856668696
2019/2/7,Industry,Japan,0.827398346
2019/2/8,Industry,Japan,0.839052546
2019/2/9,Industry,Japan,0.848766224
2019/2/10,Industry,Japan,0.763869954
2019/2/11,Industry,Japan,0.832380885
2019/2/12,Industry,Japan,0.841610226
2019/2/13,Industry,Japan,0.843890847
2019/2/14,Industry,Japan,0.871438043
2019/2/15,Industry,Japan,0.894585447
2019/2/16,Industry,Japan,0.79418436
2019/2/17,Industry,Japan,0.714416244
2019/2/18,Industry,Japan,0.798210156
2019/2/19,Industry,Japan,0.834387044
2019/2/20,Industry,Japan,0.75682953
2019/2/21,Industry,Japan,0.763400982
2019/2/22,Industry,Japan,0.769759644
2019/2/23,Industry,Japan,0.673228373
2019/2/24,Industry,Japan,0.639293229
2019/2/25,Industry,Japan,0.722876931
2019/2/26,Industry,Japan,0.730210393
2019/2/27,Industry,Japan,0.796920415
2019/2/28,Industry,Japan,0.802876216
2019/3/1,Industry,Japan,0.86350933
2019/3/2,Industry,Japan,0.770600037
2019/3/3,Industry,Japan,0.808706267
2019/3/4,Industry,Japan,0.92741647
2019/3/5,Industry,Japan,0.8364139
2019/3/6,Industry,Japan,0.900644321
2019/3/7,Industry,Japan,0.904572987
2019/3/8,Industry,Japan,0.854814904
2019/3/9,Industry,Japan,0.743684956
2019/3/10,Industry,Japan,0.720277394
2019/3/11,Industry,Japan,0.800935611
2019/3/12,Industry,Japan,0.794000911
2019/3/13,Industry,Japan,0.804267022
2019/3/14,Industry,Japan,0.860617861
2019/3/15,Industry,Japan,0.845434797
2019/3/16,Industry,Japan,0.77543547
2019/3/17,Industry,Japan,0.745233693
2019/3/18,Industry,Japan,0.815366161
2019/3/19,Industry,Japan,0.837285349
2019/3/20,Industry,Japan,0.761841882
2019/3/21,Industry,Japan,0.744727967
2019/3/22,Industry,Japan,0.734763587
2019/3/23,Industry,Japan,0.770449674
2019/3/24,Industry,Japan,0.706238224
2019/3/25,Industry,Japan,0.814594765
2019/3/26,Industry,Japan,0.784108522
