date,sector,country,co2
2019/1/1,Industry,Russia,0.589959145
2019/1/2,Industry,Russia,0.608305581
2019/1/3,Industry,Russia,0.62290709
2019/1/4,Industry,Russia,0.61879604
2019/1/5,Industry,Russia,0.616729989
2019/1/6,Industry,Russia,0.623255367
2019/1/7,Industry,Russia,0.629751443
2019/1/8,Industry,Russia,0.634010669
2019/1/9,Industry,Russia,0.634933146
2019/1/10,Industry,Russia,0.646813039
2019/1/11,Industry,Russia,0.649101349
2019/1/12,Industry,Russia,0.633327155
2019/1/13,Industry,Russia,0.610046801
2019/1/14,Industry,Russia,0.614341516
2019/1/15,Industry,Russia,0.600029299
2019/1/16,Industry,Russia,0.607376079
2019/1/17,Industry,Russia,0.618013961
2019/1/18,Industry,Russia,0.611508095
2019/1/19,Industry,Russia,0.603923429
2019/1/20,Industry,Russia,0.607007515
2019/1/21,Industry,Russia,0.617111624
2019/1/22,Industry,Russia,0.633029052
2019/1/23,Industry,Russia,0.65122969
2019/1/24,Industry,Russia,0.655721898
2019/1/25,Industry,Russia,0.656792037
2019/1/26,Industry,Russia,0.651893252
2019/1/27,Industry,Russia,0.641287289
2019/1/28,Industry,Russia,0.65280697
2019/1/29,Industry,Russia,0.644754257
2019/1/30,Industry,Russia,0.627285807
2019/1/31,Industry,Russia,0.621504387
2019/2/1,Industry,Russia,0.742577402
2019/2/2,Industry,Russia,0.741152544
2019/2/3,Industry,Russia,0.72127687
2019/2/4,Industry,Russia,0.737666082
2019/2/5,Industry,Russia,0.746215931
2019/2/6,Industry,Russia,0.754816582
2019/2/7,Industry,Russia,0.756667722
2019/2/8,Industry,Russia,0.751078461
2019/2/9,Industry,Russia,0.743365221
2019/2/10,Industry,Russia,0.728135799
2019/2/11,Industry,Russia,0.743500416
2019/2/12,Industry,Russia,0.73731371
2019/2/13,Industry,Russia,0.732515743
2019/2/14,Industry,Russia,0.727890335
2019/2/15,Industry,Russia,0.735541962
2019/2/16,Industry,Russia,0.70511748
2019/2/17,Industry,Russia,0.680718868
2019/2/18,Industry,Russia,0.710836731
2019/2/19,Industry,Russia,0.711386631
2019/2/20,Industry,Russia,0.711531811
2019/2/21,Industry,Russia,0.712040166
2019/2/22,Industry,Russia,0.705008009
2019/2/23,Industry,Russia,0.696956679
2019/2/24,Industry,Russia,0.675310436
2019/2/25,Industry,Russia,0.68103061
2019/2/26,Industry,Russia,0.6853468
2019/2/27,Industry,Russia,0.684136548
2019/2/28,Industry,Russia,0.683170535
2019/3/1,Industry,Russia,0.754046064
2019/3/2,Industry,Russia,0.755822352
2019/3/3,Industry,Russia,0.753506073
2019/3/4,Industry,Russia,0.770294522
2019/3/5,Industry,Russia,0.755982029
2019/3/6,Industry,Russia,0.754724089
2019/3/7,Industry,Russia,0.761982195
2019/3/8,Industry,Russia,0.737507907
2019/3/9,Industry,Russia,0.728387403
2019/3/10,Industry,Russia,0.723187029
2019/3/11,Industry,Russia,0.742600041
2019/3/12,Industry,Russia,0.732145002
2019/3/13,Industry,Russia,0.740854431
2019/3/14,Industry,Russia,0.753436579
2019/3/15,Industry,Russia,0.746705713
2019/3/16,Industry,Russia,0.733403932
2019/3/17,Industry,Russia,0.713484136
2019/3/18,Industry,Russia,0.720112803
2019/3/19,Industry,Russia,0.71839284
2019/3/20,Industry,Russia,0.720937623
2019/3/21,Industry,Russia,0.723750289
2019/3/22,Industry,Russia,0.721530094
2019/3/23,Industry,Russia,0.707218152
2019/3/24,Industry,Russia,0.699299066
2019/3/25,Industry,Russia,0.701676328
2019/3/26,Industry,Russia,0.706724992
2019/3/27,Industry,Russia,0.715596756
2019/3/28,Industry,Russia,0.712577533
2019/3/29,Industry,Russia,0.709057783
2019/3/30,Industry,Russia,0.687494461
2019/3/31,Industry,Russia,0.663346237
2019/4/1,Industry,Russia,0.817156461
2019/4/2,Industry,Russia,0.819149563
2019/4/3,Industry,Russia,0.820195169
2019/4/4,Industry,Russia,0.826803344
2019/4/5,Industry,Russia,0.833737011
2019/4/6,Industry,Russia,0.82043065
2019/4/7,Industry,Russia,0.795652347
2019/4/8,Industry,Russia,0.80786913
2019/4/9,Industry,Russia,0.786776989
2019/4/10,Industry,Russia,0.787249955
2019/4/11,Industry,Russia,0.789011795
2019/4/12,Industry,Russia,0.769739646
2019/4/13,Industry,Russia,0.765023302
2019/4/14,Industry,Russia,0.751841205
2019/4/15,Industry,Russia,0.767519793
2019/4/16,Industry,Russia,0.758148531
2019/4/17,Industry,Russia,0.772065435
2019/4/18,Industry,Russia,0.770450269
2019/4/19,Industry,Russia,0.760523802
2019/4/20,Industry,Russia,0.747119193
2019/4/21,Industry,Russia,0.719689996
2019/4/22,Industry,Russia,0.746270541
2019/4/23,Industry,Russia,0.722442468
2019/4/24,Industry,Russia,0.704863331
2019/4/25,Industry,Russia,0.701013283
2019/4/26,Industry,Russia,0.686593575
2019/4/27,Industry,Russia,0.670866255
2019/4/28,Industry,Russia,0.645425723
2019/4/29,Industry,Russia,0.697229175
2019/4/30,Industry,Russia,0.687830543
2019/5/1,Industry,Russia,0.78317997
2019/5/2,Industry,Russia,0.789606903
2019/5/3,Industry,Russia,0.797615519
2019/5/4,Industry,Russia,0.786071378
2019/5/5,Industry,Russia,0.770534953
2019/5/6,Industry,Russia,0.779970751
2019/5/7,Industry,Russia,0.773480057
2019/5/8,Industry,Russia,0.753261549
2019/5/9,Industry,Russia,0.700835731
2019/5/10,Industry,Russia,0.693376729
2019/5/11,Industry,Russia,0.679737995
2019/5/12,Industry,Russia,0.660133797
2019/5/13,Industry,Russia,0.711448755
2019/5/14,Industry,Russia,0.718439008
2019/5/15,Industry,Russia,0.7224602
2019/5/16,Industry,Russia,0.722055699
2019/5/17,Industry,Russia,0.725904306
2019/5/18,Industry,Russia,0.686093056
2019/5/19,Industry,Russia,0.659193137
2019/5/20,Industry,Russia,0.699548946
